rank,city,state,2020_census,2010_census,percent_change,land_area_mi,land_area_km,pop_density_mi,pop_density_km,degrees_north,degrees_west
241,Round Rock,Texas,119468,99887,19.6,37.6,97.4,3177,1227,30.52,97.66
242,Cambridge,Massachusetts,118403,105162,12.59,6.4,16.6,18500,7100,42.37,71.11
243,Meridian,Idaho,117635,75092,56.65,35.1,90.9,3351,1294,43.61,116.39
244,West Palm Beach,Florida,117415,99919,17.51,53.8,139.3,2182,842,26.74,80.12
245,Evansville,Indiana,117298,117429,0.11,47.4,122.8,2475,956,37.98,87.53
246,Clearwater,Florida,117292,107685,8.92,26.1,67.6,4494,1735,27.97,82.76
247,Billings,Montana,117116,104170,12.43,44.8,116,2614,1009,45.78,108.54
248,West Jordan,Utah,116961,103712,12.77,32.3,83.7,3621,1398,40.6,112
249,Richmond,California,116448,103701,12.29,30.1,78,3869,1494,37.95,122.36
250,Westminster,Colorado,116317,106114,9.62,31.6,81.8,3681,1421,39.88,105.06
251,Manchester,New Hampshire,115644,109565,5.55,33.1,85.7,3494,1349,42.98,71.44
252,Lowell,Massachusetts,115554,106519,8.48,13.6,35.2,8497,3281,42.63,71.32
253,Wilmington,North Carolina,115451,106476,8.43,51.4,133.1,2246,867,34.2,77.88
254,Antioch,California,115291,102372,12.62,29.2,75.6,3948,1524,37.97,121.79
255,Beaumont,Texas,115282,118296,2.55,82.5,213.7,1397,539,30.08,94.14
256,Provo,Utah,115162,112488,2.38,41.7,108,2762,1066,40.24,111.64
257,North Charleston,South Carolina,114852,97471,17.83,77.6,201,1480,570,32.91,80.06
258,Elgin,Illinois,114797,108188,6.11,38,98.4,3021,1166,42.03,88.32
259,Carlsbad,California,114746,105328,8.94,37.8,97.9,3036,1172,33.12,117.28
260,Odessa,Texas,114428,99940,14.5,51.1,132.3,2239,864,31.88,102.34
261,Waterbury,Connecticut,114403,110366,3.66,28.5,73.8,4014,1550,41.55,73.03
262,Springfield,Illinois,114394,116250,1.6,61.1,158.2,1872,723,39.79,89.64
263,League City,Texas,114392,83560,36.9,51.3,132.9,2230,860,29.49,95.1
264,Downey,California,114355,111772,2.31,12.4,32.1,9222,3561,33.93,118.13
265,Gresham,Oregon,114247,105594,8.19,23.5,60.9,4862,1877,45.5,122.44
266,High Point,North Carolina,114059,104371,9.28,56.4,146.1,2022,781,35.99,79.99
267,Broken Arrow,Oklahoma,113540,98850,14.86,63,163.2,1802,696,36.03,95.78
268,Peoria,Illinois,113150,115007,1.61,48,124.3,2357,910,40.75,89.61
269,Lansing,Michigan,112644,114297,1.45,39.1,101.3,2881,1112,42.71,84.55
270,Lakeland,Florida,112641,97422,15.62,66.2,171.5,1702,657,28.05,81.95
271,Pompano Beach,Florida,112046,99845,12.22,24,62.2,4669,1803,26.24,80.13
272,Costa Mesa,California,111918,109960,1.78,15.8,40.9,7083,2735,33.66,117.91
